point_id,long,lat
1027,49.5,88.5
1028,50.25,88.5
1029,51,88.5
1030,51.75,88.5
1031,52.5,88.5
1032,53.25,88.5
1033,54,88.5
1034,54.75,88.5
1035,55.5,88.5
1036,56.25,88.5
1037,57,88.5
1038,57.75,88.5
1039,58.5,88.5
1040,59.25,88.5
1041,60,88.5
1042,60.75,88.5
1043,61.5,88.5
1044,62.25,88.5
1045,63,88.5
1046,63.75,88.5
1047,64.5,88.5
1048,65.25,88.5
1049,66,88.5
1050,66.75,88.5
1051,67.5,88.5
1052,68.25,88.5
1053,69,88.5
1054,69.75,88.5
1055,70.5,88.5
1056,71.25,88.5
1057,72,88.5
1058,72.75,88.5
1059,73.5,88.5
1060,74.25,88.5
1061,75,88.5
1062,75.75,88.5
1063,76.5,88.5
1064,77.25,88.5
1065,78,88.5
1066,78.75,88.5
1067,79.5,88.5
1068,80.25,88.5
1069,81,88.5
1070,81.75,88.5
1071,82.5,88.5
1072,83.25,88.5
1073,84,88.5
1074,84.75,88.5
1075,85.5,88.5
1076,86.25,88.5
1077,87,88.5
1078,87.75,88.5
1079,88.5,88.5
1080,89.25,88.5
1081,90,88.5
1082,90.75,88.5
1083,91.5,88.5
1084,92.25,88.5
1085,93,88.5
1086,93.75,88.5
1087,94.5,88.5
1088,95.25,88.5
1089,96,88.5
1090,96.75,88.5
1091,97.5,88.5
1092,98.25,88.5
1093,99,88.5
1094,99.75,88.5
1095,100.5,88.5
1096,101.25,88.5
1097,102,88.5
1098,102.75,88.5
1099,103.5,88.5
1100,104.25,88.5
1101,105,88.5
1102,105.75,88.5
1103,106.5,88.5
1104,107.25,88.5
1105,108,88.5
1106,108.75,88.5
1107,109.5,88.5
1108,110.25,88.5
1109,111,88.5
1110,111.75,88.5
1111,112.5,88.5
1112,113.25,88.5
1113,114,88.5
1114,114.75,88.5
1115,115.5,88.5
1116,116.25,88.5
1117,117,88.5
1118,117.75,88.5
1119,118.5,88.5
1120,119.25,88.5
1121,120,88.5
1122,120.75,88.5
1123,121.5,88.5
1124,122.25,88.5
1125,123,88.5
1126,123.75,88.5
1127,124.5,88.5
1128,125.25,88.5
1129,126,88.5
1130,126.75,88.5
1131,127.5,88.5
1132,128.25,88.5
1133,129,88.5
1134,129.75,88.5
1135,130.5,88.5
1136,131.25,88.5
1137,132,88.5
1138,132.75,88.5
1139,133.5,88.5
1140,134.25,88.5
1141,135,88.5
1142,135.75,88.5
1143,136.5,88.5
1144,137.25,88.5
1145,138,88.5
1146,138.75,88.5
1147,139.5,88.5
1148,140.25,88.5
1149,141,88.5
1150,141.75,88.5
1151,142.5,88.5
1152,143.25,88.5
1153,144,88.5
1154,144.75,88.5
1155,145.5,88.5
1156,146.25,88.5
1157,147,88.5
1158,147.75,88.5
1159,148.5,88.5
1160,149.25,88.5
1161,150,88.5
1162,150.75,88.5
1163,151.5,88.5
1164,152.25,88.5
1165,153,88.5
1166,153.75,88.5
1167,154.5,88.5
1168,155.25,88.5
1169,156,88.5
1170,156.75,88.5
1171,157.5,88.5
1172,158.25,88.5
1173,159,88.5
1174,159.75,88.5
1175,160.5,88.5
1176,161.25,88.5
1177,162,88.5
1178,162.75,88.5
1179,163.5,88.5
1180,164.25,88.5
1181,165,88.5
1182,165.75,88.5
1183,166.5,88.5
1184,167.25,88.5
1185,168,88.5
1186,168.75,88.5
1187,169.5,88.5
1188,170.25,88.5
1189,171,88.5
1190,171.75,88.5
1191,172.5,88.5
1192,173.25,88.5
1193,174,88.5
1194,174.75,88.5
1195,175.5,88.5
1196,176.25,88.5
1197,177,88.5
1198,177.75,88.5
1199,178.5,88.5
1200,179.25,88.5
1201,180,88.5
1202,-179.25,88.5
1203,-178.5,88.5
1204,-177.75,88.5
1205,-177,88.5
1206,-176.25,88.5
1207,-175.5,88.5
1208,-174.75,88.5
1209,-174,88.5
1210,-173.25,88.5
1211,-172.5,88.5
1212,-171.75,88.5
1213,-171,88.5
1214,-170.25,88.5
1215,-169.5,88.5
1216,-168.75,88.5
1217,-168,88.5
1218,-167.25,88.5
1219,-166.5,88.5
1220,-165.75,88.5
1221,-165,88.5
1222,-164.25,88.5
1223,-163.5,88.5
1224,-162.75,88.5
1225,-162,88.5
1226,-161.25,88.5
1227,-160.5,88.5
1228,-159.75,88.5
1229,-159,88.5
1230,-158.25,88.5
1231,-157.5,88.5
1232,-156.75,88.5
1233,-156,88.5
1234,-155.25,88.5
1235,-154.5,88.5
1236,-153.75,88.5
1237,-153,88.5
1238,-152.25,88.5
1239,-151.5,88.5
1240,-150.75,88.5
1241,-150,88.5
1242,-149.25,88.5
1243,-148.5,88.5
1244,-147.75,88.5
1245,-147,88.5
1246,-146.25,88.5
1247,-145.5,88.5
1248,-144.75,88.5
1249,-144,88.5
1250,-143.25,88.5
1251,-142.5,88.5
1252,-141.75,88.5
1253,-141,88.5
1254,-140.25,88.5
1255,-139.5,88.5
1256,-138.75,88.5
1257,-138,88.5
1258,-137.25,88.5
1259,-136.5,88.5
1260,-135.75,88.5
1261,-135,88.5
1262,-134.25,88.5
1263,-133.5,88.5
1264,-132.75,88.5
1265,-132,88.5
1266,-131.25,88.5
1267,-130.5,88.5
1268,-129.75,88.5
1269,-129,88.5
1270,-128.25,88.5
1271,-127.5,88.5
1272,-126.75,88.5
1273,-126,88.5
1274,-125.25,88.5
1275,-124.5,88.5
1276,-123.75,88.5
1277,-123,88.5
1278,-122.25,88.5
1279,-121.5,88.5
1280,-120.75,88.5
1281,-120,88.5
1282,-119.25,88.5
1283,-118.5,88.5
1284,-117.75,88.5
1285,-117,88.5
1286,-116.25,88.5
1287,-115.5,88.5
1288,-114.75,88.5
1289,-114,88.5
1290,-113.25,88.5
1291,-112.5,88.5
1292,-111.75,88.5
1293,-111,88.5
1294,-110.25,88.5
1295,-109.5,88.5
1296,-108.75,88.5
1297,-108,88.5
1298,-107.25,88.5
1299,-106.5,88.5
1300,-105.75,88.5
1301,-105,88.5
1302,-104.25,88.5
1303,-103.5,88.5
1304,-102.75,88.5
1305,-102,88.5
1306,-101.25,88.5
1307,-100.5,88.5
1308,-99.75,88.5
1309,-99,88.5
1310,-98.25,88.5
1311,-97.5,88.5
1312,-96.75,88.5
1313,-96,88.5
1314,-95.25,88.5
1315,-94.5,88.5
1316,-93.75,88.5
1317,-93,88.5
1318,-92.25,88.5
1319,-91.5,88.5
1320,-90.75,88.5
1321,-90,88.5
1322,-89.25,88.5
1323,-88.5,88.5
1324,-87.75,88.5
1325,-87,88.5
1326,-86.25,88.5
1327,-85.5,88.5
1328,-84.75,88.5
1329,-84,88.5
1330,-83.25,88.5
1331,-82.5,88.5
1332,-81.75,88.5
1333,-81,88.5
1334,-80.25,88.5
1335,-79.5,88.5
1336,-78.75,88.5
1337,-78,88.5
1338,-77.25,88.5
1339,-76.5,88.5
1340,-75.75,88.5
1341,-75,88.5
1342,-74.25,88.5
1343,-73.5,88.5
1344,-72.75,88.5
1345,-72,88.5
1346,-71.25,88.5
1347,-70.5,88.5
1348,-69.75,88.5
1349,-69,88.5
1350,-68.25,88.5
1351,-67.5,88.5
1352,-66.75,88.5
1353,-66,88.5
1354,-65.25,88.5
1355,-64.5,88.5
1356,-63.75,88.5
1357,-63,88.5
1358,-62.25,88.5
1359,-61.5,88.5
1360,-60.75,88.5
1361,-60,88.5
1362,-59.25,88.5
1363,-58.5,88.5
1364,-57.75,88.5
1365,-57,88.5
1366,-56.25,88.5
1367,-55.5,88.5
1368,-54.75,88.5
1369,-54,88.5
1370,-53.25,88.5
1371,-52.5,88.5
1372,-51.75,88.5
1373,-51,88.5
1374,-50.25,88.5
1375,-49.5,88.5
1376,-48.75,88.5
1377,-48,88.5
1378,-47.25,88.5
1379,-46.5,88.5
1380,-45.75,88.5
1381,-45,88.5
1382,-44.25,88.5
1383,-43.5,88.5
1384,-42.75,88.5
1385,-42,88.5
1386,-41.25,88.5
1387,-40.5,88.5
1388,-39.75,88.5
1389,-39,88.5
1390,-38.25,88.5
1391,-37.5,88.5
1392,-36.75,88.5
1393,-36,88.5
1394,-35.25,88.5
1395,-34.5,88.5
1396,-33.75,88.5
1397,-33,88.5
1398,-32.25,88.5
1399,-31.5,88.5
1400,-30.75,88.5
1401,-30,88.5
1402,-29.25,88.5
1403,-28.5,88.5
1404,-27.75,88.5
1405,-27,88.5
1406,-26.25,88.5
1407,-25.5,88.5
1408,-24.75,88.5
1409,-24,88.5
1410,-23.25,88.5
1411,-22.5,88.5
1412,-21.75,88.5
1413,-21,88.5
1414,-20.25,88.5
1415,-19.5,88.5
1416,-18.75,88.5
1417,-18,88.5
1418,-17.25,88.5
1419,-16.5,88.5
1420,-15.75,88.5
1421,-15,88.5
1422,-14.25,88.5
1423,-13.5,88.5
1424,-12.75,88.5
1425,-12,88.5
1426,-11.25,88.5
1427,-10.5,88.5
1428,-9.75,88.5
1429,-9,88.5
1430,-8.25,88.5
1431,-7.5,88.5
1432,-6.75,88.5
1433,-6,88.5
1434,-5.25,88.5
1435,-4.5,88.5
1436,-3.75,88.5
1437,-3,88.5
1438,-2.25,88.5
1439,-1.5,88.5
1440,-0.75,88.5
1441,0,87.75
1442,0.75,87.75
1443,1.5,87.75
1444,2.25,87.75
1445,3,87.75
1446,3.75,87.75
1447,4.5,87.75
